assigned_group,STATUS,TIME_IN_STATUS_BY_OWNER_HRS
ITS00309,QUEUED,169.94257357978734
ITS00351,QUEUED,169.79166666749998
DC000109,AWAITCHG,169.25999999933998
DC000148,INPROG,169.11851852223336
DC000110,PENDING,168.95238095224286
EDC00031,PENDINGREV,168.86666666835
NW000410,PENDINGCUS,168.76333333334
NW000452,SLAHOLD,168.63333333349473
NW000425,QUEUED,168.04946808559902
NW000486,SLAHOLD,167.38888888889997
ITS00326,SLAHOLD,167.20892857071425
NW000472,AWAITCUS,166.94553492458297
NW000430,AWAITCUS,166.7842293902236
EDC00009,PENDINGCUS,166.48222222224675
DC000104,SLAHOLD,166.34166666834997
DC000223,AWAITVEN,166.13809523839998
DC000127,AWAITCHG,165.61513410012304
DC000148,AWAITVEN,164.85000000000002
DC000207,AWAITVEN,164.65
ENT00002,INPROG,164.46666666664999
ITS00383,INPROG,163.7300000006
NW000439,INPROG,163.63540051709847
SM000549,PENDINGCUS,162.72222222173335
NW000455,QUEUED,162.53000000066
DC000191,AWAITCHG,162.206250004075
EDC00075,QUEUED,161.5237179476577
DC000249,AWAITCUS,161.51746031917622
NW000403,AWAITCUS,161.3632064591331
DC000194,AWAITCHG,161.329166666575
ENT00007,QUEUED,161.18333333165
NW000464,SLAHOLD,160.91777777773333
NSD00018,QUEUED,160.56041666587498
NS000101,INPROG,160.46025641236156
SM000520,QUEUED,160.1808333325587
NW000404,AWAITCUS,159.28484848468582
DC000131,QUEUED,159.25445134651585
ENT00030,QUEUED,158.866666665
ITS00346,SLAHOLD,158.70238095176666
NW000404,PENDINGVEN,158.4913043480435
ITS00341,AWAITCHG,158.42261904945477
SM000542,INPROG,158.2421768705449
ITS00331,AWAITVEN,158.22999999939998
EDC00001,SLAHOLD,157.69333333454
ITS00353,SLAHOLD,157.09444444446666
ITS00379,AWAITCUS,156.34074074000003
EDC00078,QUEUED,156.18888889
DC000113,AWAITVEN,155.31739130621736
NS000101,AWAITVEN,155.11666667
ESI00011,AWAITCHG,155.10637156246156
DC000147,PENDINGREV,155.05
ENT00006,AWAITVEN,154.691666665
ITS00340,AWAITCUS,154.56676706877636
ITS00306,QUEUED,154.28743566447872
DC000204,QUEUED,154.0278629856067
NW000410,PENDINGREV,153.94444444406665
NW000476,QUEUED,153.33486842015
DC000110,SLAHOLD,153.14940476244104
DC000188,SLAHOLD,153.119333335052
DC000132,AWAITCUS,152.87251462004738
DC000111,PENDING,152.63939393844547
NW000404,PENDINGREV,151.9666666676
DC000122,AWAITCUS,151.25634920692144
NW000481,QUEUED,150.66083249742076
DC000191,AWAITCUS,150.55287356437933
NW000461,INPROG,150.5071428575714
NW000407,AWAITCHG,150.42272727242727
DC000216,AWAITCHG,150.38859649108164
ITS00359,AWAITCUS,150.2922442245554
SM000542,QUEUED,149.90213464641573
PM000614,AWAITCUS,149.75909090906367
EDC00074,PENDINGCUS,149.41666666667498
DC000111,PENDINGCUS,149.321428571
NW000443,SLAHOLD,149.28333333
NW000449,AWAITVEN,148.85277777833332
DC000150,INPROG,148.59855072611742
NW000447,AWAITCHG,148.170833333425
ITS00308,AWAITVEN,148.09444444433333
DC000221,AWAITCHG,147.354166667325
DC000198,AWAITCUS,146.861666663
DC000135,AWAITCUS,146.53186274431766
NW000417,AWAITCUS,146.39448069608855
EDC00098,QUEUED,146.35190839677324
DC000132,PENDINGREV,146.30277778061668
DC000202,SLAHOLD,146.20204248378832
DC000101,SLAHOLD,146.13888888900001
EU000209,QUEUED,145.9
NDS00033,AWAITCUS,145.82592592566667
ITS00374,QUEUED,145.62269841308856
ITS00357,AWAITCUS,145.533333335
NW000502,QUEUED,145.3287878787818
ITS00352,SLAHOLD,144.54222222066002
NW000432,AWAITVEN,144.24666666639501
NW000424,AWAITCUS,144.124999999075
NW000403,PENDING,144.02857142888573
ITS00309,AWAITCUS,143.93906249994686
NW000488,AWAITVEN,143.9238095232857
SM000500,INPROG,143.566666666675
DC000182,QUEUED,143.42777777666666
NW000442,AWAITCUS,143.38333333
ITS00332,AWAITCHG,143.32254901776474
NW000464,AWAITVEN,143.1064516130323
ITS00306,AWAITCUS,142.8299578053494
NW000459,PENDINGVEN,142.81666667
EDC00019,QUEUED,142.29444444566667
NW000460,SLAHOLD,142.26166666633
DC000254,AWAITCUS,142.17619047581428
NW000403,AWAITVEN,141.9078544059874
NW000405,AWAITCHG,141.7392473118274
DC000194,RESOLVED,141.649479165625
DC000112,AWAITCUS,140.95
NW000419,QUEUED,140.745987653713
NW000477,AWAITCUS,140.735245902541
NW000414,PENDINGCUS,140.6125
SM000549,AWAITVEN,140.3222222211
ESI00018,QUEUED,140.2833333335
SM000501,AWAITCUS,140.14285714385716
CB000600,AWAITCUS,140.06666667
DC000128,AWAITCUS,139.8653439150444
NS000101,QUEUED,139.39655172402067
ITS00326,AWAITCUS,139.36838006180653
NW000438,AWAITCUS,139.2332872929016
NW000488,QUEUED,139.19320000007028
ITS00103,SLAHOLD,138.65
NW000517,AWAITCHG,138.61666667
AP000001,INPROG,138.49444444443333
NW000407,QUEUED,138.46040693793
NW000407,PENDINGREV,138.091666665
DC000119,AWAITCHG,137.8549107141196
DC000127,AWAITCUS,137.73270042262783
NW000416,PENDINGCUS,137.68333333
NW000450,QUEUED,137.61096550184632
EDC00053,AWAITCHG,137.525
NW000405,AWAITCUS,137.45607028758465
DC000210,AWAITCHG,137.155357144
DC000131,PENDING,137.05
ESI00046,PENDINGREV,136.76666667
NW000402,AWAITCUS,136.64583333324998
ENT00006,PENDING,136.56666667
NW000401,INPROG,136.49095744716277
DC000134,INPROG,136.48604651184718
ITS00108,AWAITCUS,136.39761904747144
DC000257,AWAITCHG,136.304166668
EDC00010,AWAITVEN,136.03055555499998
ITS00346,AWAITCUS,135.8431818192682
ITS00352,INPROG,134.80860215063873
ITS00340,SLAHOLD,134.775661376346
EDC00025,PENDINGCUS,134.499999999075
ITS00308,QUEUED,134.25410156239604
NW000414,INPROG,133.8159638105013
DC000109,QUEUED,133.63180327884058
NW000440,AWAITCUS,133.5310784319195
NW000492,AWAITCUS,133.37395833374998
NW000401,QUEUED,133.28107142893393
NW000475,QUEUED,133.21111111233333
NW000400,SLAHOLD,133.17179487259486
NW000407,AWAITCUS,133.16447368486445
DC000108,AWAITVEN,133.06666666671322
COR00554,AWAITCHG,132.86666666766666
ESI00049,QUEUED,132.59669811348866
COR00554,AWAITCUS,132.58750000075
NW000432,SLAHOLD,132.433333335
NW000498,AWAITCUS,131.96666667
DC000204,INPROG,131.91984126987614
NW000410,PENDING,131.53333333277
NS000115,AWAITCUS,131.51944444502502
NW000414,AWAITCUS,131.39726307183037
ENT00016,INPROG,131.124999998325
DC000141,AWAITVEN,130.94166666571667
DC000125,PENDINGCUS,130.71666667
DC000119,PENDINGREV,130.3666666660857
DC000143,AWAITCUS,130.0
DC000209,AWAITCHG,129.94888888888667
DC000245,AWAITCHG,129.91666667
DC000191,SLAHOLD,129.79444444284286
ESI00011,PENDING,129.6399659861745
NW000413,PENDINGCHG,129.63333333
DC000194,QUEUED,129.60384615419485
ESI00011,SLAHOLD,129.55118912786665
NW000447,AWAITCUS,129.52045454562727
NW000440,QUEUED,129.23792270559017
NW000438,SLAHOLD,129.10866965649282
NW000417,PENDINGCUS,129.09774774741888
NW000453,AWAITCUS,129.0348214282696
DC000156,AWAITCHG,128.59444444666667
NW000406,INPROG,128.56078431355292
NW000407,SLAHOLD,128.50220588149412
ESI00011,AWAITCUS,128.25675883249804
DC000263,AWAITVEN,128.08333333
NW000401,AWAITCHG,127.93333333333999
DC000104,AWAITVEN,127.74166666650001
ITS00307,AWAITCUS,127.64705882357057
DC000176,AWAITVEN,127.63030302720912
DC000150,QUEUED,127.41560283615955
NW000460,QUEUED,127.274305555925
NW000414,SLAHOLD,127.04404761838774
NW000412,PENDINGREV,126.89930555555418
ITS00330,INPROG,126.89333333428574
NW000509,INPROG,126.60527777772003
DC000119,PENDINGCUS,126.49102564098715
ITS00347,QUEUED,126.37820512838076
NW000412,PENDING,126.15537634457095
ENT00024,QUEUED,125.76666667
NW000473,AWAITCHG,125.72716049534813
NW000453,INPROG,125.31419753059623
DC000166,QUEUED,125.180555555
DC000110,HISTEDIT,125.16666667
DC000120,AWAITVEN,124.94444444556666
DC000127,PENDINGVEN,124.60925925966669
DC000123,INPROG,124.53194444415834
NW000440,INPROG,124.41464843718086
ITS00327,SLAHOLD,124.11791044786864
SM000512,QUEUED,123.95127737229846
NW000403,PENDINGCUS,123.88589743587688
NW000403,QUEUED,123.87080647323988
DC000205,AWAITCUS,123.53888888766669
NW000407,PENDING,123.41833332966996
SM000564,INPROG,123.10000000165
EDC00001,PENDINGVEN,122.087500000075
ITS00109,QUEUED,122.06666666624285
NW000464,PENDINGREV,121.52222222
ESI00011,PENDINGREV,121.35312499947344
NW000488,INPROG,121.33560606146138
DC000110,QUEUED,121.11137724549704
ITS00340,AWAITCHG,121.00833333303001
NW000424,PENDINGREV,120.56666666999999
NW000444,AWAITCUS,120.32051282074616
ESI00011,PENDINGCUS,120.31981707317141
NW000477,AWAITCHG,120.25555555630002
NW000477,AWAITVEN,120.20555555556666
DC000129,PENDINGVEN,120.1111111099
NW000449,PENDINGREV,120.1
CB000600,QUEUED,119.97261904660718
SM000551,QUEUED,119.78333333
DC000120,QUEUED,119.68864541795817
DC000107,SLAHOLD,119.58924731097099
DC000202,AWAITVEN,119.44880952383573
NW000439,AWAITCUS,119.44129353257313
ENT00039,AWAITCUS,119.4
ITS00360,AWAITCUS,119.3166666671564
DC000145,INPROG,119.1270833329125
NW000472,AWAITCHG,118.75833333457082
NW000408,QUEUED,118.58174539644882
DC000123,PENDINGREV,118.41666667
NW000509,SLAHOLD,117.43461538384614
DC000135,AWAITVEN,117.12105263154213
EDC00095,AWAITCUS,116.57875817001963
DC000129,AWAITCUS,116.45740740891112
NW000462,INPROG,116.38809523857141
EDC00001,PENDINGREV,115.933333335
ITS00307,AWAITVEN,115.65499999999997
DC000264,QUEUED,115.28333333
ITS00342,AWAITCUS,115.05378787846821
DC000178,QUEUED,115.01172106875183
NW000464,AWAITCUS,114.84814814834442
DC000210,SLAHOLD,114.6746376807978
ESI00011,PENDINGVEN,114.65450450469457
DC000127,PENDINGREV,114.14199999995999
DC000132,SLAHOLD,114.04249692485308
DC000135,QUEUED,113.93354005180706
DC000205,INPROG,113.89410256425448
DC000105,AWAITVEN,113.78333333
COR00550,INPROG,113.39333333339998
NW000503,SLAHOLD,113.07021276690215
DC000248,AWAITCHG,112.83703703666667
DC000248,SLAHOLD,112.7884615381654
ITS00322,AWAITVEN,112.466666666675
NW000403,SLAHOLD,112.43284946267057
ITS00352,AWAITCUS,112.15185185180553
DC000133,AWAITCUS,111.87735042822052
DC000179,SLAHOLD,111.59333333337
NW000420,AWAITCUS,111.13130081370491
NW000450,INPROG,111.05966183612422
EDC00074,QUEUED,111.00646258542656
DC000159,QUEUED,110.85
ITS00306,AWAITCHG,110.57361111080836
DC000156,QUEUED,110.53859878160497
DC000115,AWAITCUS,110.52322694993131
ITS00304,PENDINGREV,110.23333333
ITS00308,PENDINGCUS,110.21851851855556
ITS00346,INPROG,109.7505747120638
COR00557,AWAITCUS,109.51813725381471
DC000115,PENDING,109.48627451008828
ESI00028,PENDINGVEN,109.42222222333334
NW000402,PENDINGCUS,109.25
EU000210,INPROG,109.16666667
DC000113,PENDING,108.9257575756909
ITS00309,PENDING,108.579166666575
ITS00366,AWAITCUS,108.51666667
DC000272,AWAITCUS,108.47222222333333
ITS00342,INPROG,108.41243781030212
DC000186,SLAHOLD,108.39999999866667
COR00551,QUEUED,108.39111111187664
AP000006,QUEUED,108.38333333350002
NW000513,QUEUED,108.291666665
EDC00048,QUEUED,108.26538461517693
ITS00326,QUEUED,108.02412820524887
NW000423,QUEUED,107.71572916660436
ITS00312,PENDINGREV,107.58333333
ITS00353,INPROG,107.33583333301502
EDC00098,SLAHOLD,107.25416666658752
EDC00095,SLAHOLD,107.17450980190002
ITS00377,SLAHOLD,107.16666666779999
ENT00041,QUEUED,107.03333333
NW000429,PENDING,106.93703703703335
COR00553,AWAITCUS,106.85111856842879
ITS00342,QUEUED,106.72651677363747
DC000117,AWAITCUS,106.6862903226452
NDS00032,QUEUED,106.62391304346522
ITS00344,SLAHOLD,106.46666666669165
NW000429,SLAHOLD,106.12810457606668
SM000585,AWAITVEN,105.93999999999998
ITS00344,QUEUED,105.83919909764055
NW000431,AWAITCUS,105.66754385991352
NW000405,SLAHOLD,105.47953051588505
NW000497,QUEUED,105.47666666734001
NW000420,QUEUED,104.89188156648295
COR00055,SLAHOLD,104.81666667
DC000180,INPROG,104.61510416872189
DC000219,QUEUED,104.57333333407
ENT00023,PENDINGCUS,104.56666667
EDC00089,AWAITCUS,104.46969696933638
ITS00101,AWAITCUS,104.39999999985714
SM000502,AWAITVEN,104.32807017559999
DC000224,QUEUED,104.19431372539616
SM000557,AWAITCUS,104.19047619104286
DC000179,AWAITCHG,103.31666666666666
NW000413,SLAHOLD,103.027083332975
NW000443,AWAITVEN,102.98333333
EU000202,PENDING,102.92380952428573
ITS00370,SLAHOLD,102.55999999934
NW000417,SLAHOLD,102.32821927882803
NW000408,AWAITCUS,102.17867383506018
EDC00066,PENDINGCUS,101.90000000118889
NW000431,SLAHOLD,101.75694935196469
EDC00002,PENDINGCUS,101.68235294000884
DC000140,AWAITCHG,101.5138888895
DC000110,AWAITCHG,101.37500000125002
EDC00004,INPROG,101.36851851889999
PM000614,AWAITVEN,101.3012195119268
DC000111,INPROG,101.04878277120176
NW000446,SLAHOLD,100.68999999988398
EDC00025,SLAHOLD,100.59833333357001
NW000452,INPROG,100.40146198769209
ITS00348,AWAITVEN,100.2
ITS00345,INPROG,99.74275362313043
EU000203,PENDINGCUS,99.72345679011481
DC000134,SLAHOLD,99.61969696939092
EDC00076,PENDINGREV,99.566666667
SM000546,AWAITCUS,99.45
EDC00098,INPROG,99.37373737382427
NW000492,INPROG,99.16399999976801
EDC00001,PENDINGCHG,99.041666665
EDC00030,QUEUED,98.99241234938216
NW000414,PENDINGVEN,98.97916666675
DC000113,PENDINGCUS,98.69666666706999
ITS00344,AWAITCUS,98.6825163397118
NW000448,INPROG,98.59637404599653
NW000430,AWAITCHG,98.34999999993
EDC00023,QUEUED,98.2893939393909
DC000139,AWAITCUS,98.22731481492778
ESI00011,AWAITVEN,97.93669301715774
NW000410,AWAITCHG,97.82129032223808
DC000129,PENDINGREV,97.66666666592499
EDC00001,AWAITVEN,97.47857142942858
ITS00322,SLAHOLD,97.41071428473576
ESI00045,PENDINGREV,97.24814814855554
NW000405,PENDINGCUS,97.0880952370657
ITS00340,INPROG,97.03761682224197
SM000557,QUEUED,96.99755434757935
EDC00077,INPROG,96.8
CG4TECH,AWAITCHG,96.566666667
ITS00353,AWAITVEN,96.470833333325
DC000156,PENDING,96.302777778025
NW000492,AWAITCHG,96.158333335
NW000400,QUEUED,95.98920750773985
NW000429,AWAITCUS,95.97279874185799
DC000183,QUEUED,95.5969696968127
DC000119,SLAHOLD,95.50381850857951
SM000548,QUEUED,95.5
ITS00307,AWAITCHG,95.38888889000002
SM000537,AWAITVEN,95.37916666684583
DC000223,AWAITCHG,95.15
DC000111,QUEUED,95.08161136253443
ITS00331,INPROG,95.07435897439616
NW000419,INPROG,94.82348484820459
EDC00062,INPROG,94.75555555433334
NW000452,QUEUED,94.52149220456587
SM000552,QUEUED,94.30555555666666
ITS00314,QUEUED,94.2833333335
COR00550,AWAITVEN,94.15
NW000441,PENDINGREV,94.05
NW000407,INPROG,93.92946768084224
DC000247,SLAHOLD,93.688888889
NW000477,SLAHOLD,93.64999999934
ESI00026,PENDINGCUS,93.54810606145456
DC000209,SLAHOLD,93.5228682170163
COR00559,QUEUED,93.47523809533142
PM000614,INPROG,93.42521367520514
ITS00362,AWAITCUS,93.31388888894999
NW000446,AWAITVEN,93.24285714260002
NW000458,AWAITCUS,93.1
DC000149,QUEUED,92.92666666699999
NW000447,QUEUED,92.88801859812288
NW000447,INPROG,92.87293447256151
ITS00326,INPROG,92.83801498131288
DC000113,AWAITCUS,92.83560090690813
NW000489,QUEUED,92.76570680632094
DC000123,QUEUED,92.49852941185445
DC000134,QUEUED,92.26549570640438
NW000448,AWAITCUS,92.17999999983502
NW000442,QUEUED,92.066666667
DC000194,INPROG,91.90104166645627
NW000420,INPROG,91.82520525459108
NW000408,SLAHOLD,91.53194444434166
ESI00028,PENDINGCUS,91.42314814900277
AP000001,AWAITCHG,91.4
NW000405,AWAITVEN,91.30027624338507
ITS00340,QUEUED,90.84656969694446
EDC00031,QUEUED,90.79909909903965
NW000446,QUEUED,90.78468634682102
PM000614,QUEUED,90.75899067006178
EU000203,AWAITCUS,90.67992424304545
AP000001,QUEUED,90.43380952416287
EU000203,PENDINGCHG,90.22500000000001
DC000120,PENDINGREV,89.8500000015
ITS00308,SLAHOLD,89.48666666627
COR00556,SLAHOLD,89.466666667
ITS00331,QUEUED,89.46375969015288
DC000109,PENDING,89.42916666582501
DC000110,AWAITCUS,89.3316326523531
EDC00003,PENDINGCUS,89.23444444662668
ITS00335,QUEUED,88.8865967365832
ITS00345,AWAITCUS,88.83615384612922
DC000107,QUEUED,88.7944707741522
NW000400,INPROG,88.53499335983226
DC000135,INPROG,87.84655172405978
NW000431,AWAITVEN,87.6718824940758
DC000110,INPROG,87.53914728742322
DC000142,QUEUED,87.466666667
NDS00009,QUEUED,87.17222222100001
EDC00029,PENDINGCUS,87.133333333
EDC00006,AWAITCHG,86.8032520317073
ESI00026,AWAITVEN,86.3626126127946
SM000582,AWAITCHG,86.35
DC000178,AWAITCHG,86.29166666665
DC000198,AWAITVEN,86.14444444566668
ENT00014,AWAITVEN,85.84166666585
ENT00002,QUEUED,85.81666666726
ITS00322,QUEUED,85.38455815023714
NW000404,INPROG,84.99924812023606
ESI00028,SLAHOLD,84.95432098734443
SM000502,INPROG,84.93908692924694
EDC00004,QUEUED,84.78427230046056
DC000250,SLAHOLD,84.72843137251178
NW000433,PENDINGREV,84.708333335
ITS00308,AWAITCUS,84.63166666665002
DC000153,INPROG,84.583333333
ITS00309,SLAHOLD,84.49166666666666
EDC00030,PENDINGREV,84.416666667
NW000473,AWAITCUS,84.34340136034123
NW000427,SLAHOLD,84.30740740781111
ENT00004,QUEUED,84.233333333
ESI00013,QUEUED,84.208333333
NW000405,QUEUED,84.19855232104712
DC000187,INPROG,84.17777777666667
ITS00332,SLAHOLD,84.12372188131896
DC000175,QUEUED,83.95
PCR00001,INPROG,83.883333333
ESI00026,QUEUED,83.87246535387543
ITS00341,AWAITVEN,83.61666666694583
NW000476,AWAITVEN,83.466666667
DC000206,SLAHOLD,83.33333333223332
DC000224,INPROG,83.32435897434107
NW000423,AWAITVEN,83.1
EDC00053,AWAITCUS,82.95044742708988
ENT00009,PENDING,82.82222222323334
SDATIER1,AWAITCUS,82.8
ESI00028,INPROG,82.54724919132721
ITS00335,INPROG,82.50694444414165
ITS00325,AWAITCUS,82.49422657955685
ITS00378,QUEUED,82.46388888862502
NW000408,AWAITVEN,82.44880952403572
NW000409,QUEUED,82.27704667650481
ITS00343,SLAHOLD,82.27482014404642
NW000508,AWAITCUS,82.11561181440759
SM000542,SLAHOLD,82.09444444457777
ITS00312,AWAITCUS,81.81666666657142
EDC00089,QUEUED,81.7311764703235
ITS00329,AWAITVEN,81.7
NW000430,PENDINGCUS,81.591666665
DC000108,AWAITCUS,81.58809523810001
DC000108,PENDING,81.483333333
NW000503,AWAITCUS,81.3476381461061
DC000123,AWAITCHG,81.266666667
NW000408,PENDINGVEN,81.26249999925
NW000508,AWAITCHG,80.79444444343333
NW000413,INPROG,80.78251634010095
ENT00003,PENDINGVEN,80.716666667
DC000173,AWAITCUS,80.61666666734
ITS00352,QUEUED,80.20325607055788
DC000186,QUEUED,80.13480392160736
NW000459,SLAHOLD,79.94343434306461
SM000501,PENDINGVEN,79.616666667
NW000430,AWAITVEN,79.61011904747498
DC000128,AWAITVEN,79.54824561415
DC000118,INPROG,79.46607142715716
ITS00381,AWAITCUS,79.45757575736756
NW000509,QUEUED,79.30006422609553
EU000211,AWAITCUS,79.233333333
ITS00379,SLAHOLD,78.916666667
NW000473,INPROG,78.77408477830838
ITS00343,AWAITCHG,78.77107843127648
DC000237,AWAITCUS,78.72343749905315
ITS00332,AWAITCUS,78.70446666646721
ENT00009,PENDINGCUS,78.67888888891333
EDC00006,AWAITCUS,78.56763420721181
DC000128,AWAITCHG,78.53725490193528
NW000417,PENDINGVEN,78.45061728401241
DC000126,QUEUED,78.383333333
DC000117,QUEUED,78.33522492010337
DC000195,INPROG,78.32666666630269
ITS00309,AWAITCHG,78.325
DC000115,PENDINGCUS,78.30303030321821
DC000161,QUEUED,78.15555555433333
DC000127,PENDINGCHG,78.13095238100001
NW000427,QUEUED,78.07559748402764
EDC00033,QUEUED,78.04166666500001
NW000426,QUEUED,77.81934731901259
DC000113,AWAITCHG,77.73939393998637
ITS00381,AWAITVEN,77.69375000000001
ITS00367,AWAITVEN,77.69166666675
NW000503,AWAITCHG,77.6904761899
ITS00103,AWAITCUS,77.15833333383333
DC000127,SLAHOLD,77.05995305151045
EU000202,AWAITCUS,76.87990196105586
NW000411,INPROG,76.77619047575715
EDC00009,AWAITCHG,76.73333333333333
ESI00028,QUEUED,76.72113370299506
ITS00390,AWAITVEN,76.583333333
ITS00102,INPROG,76.57222222233334
ESI00011,INPROG,76.45993402548136
EDC00095,QUEUED,76.19324637655912
NW000403,INPROG,76.1351351350174
ENT00006,QUEUED,75.9130952381634
NW000412,PENDINGVEN,75.82279874186504
ESI00999,QUEUED,75.666666667
NW000438,PENDINGCHG,75.433333333
NW000418,QUEUED,75.41666666742499
NW000428,AWAITVEN,75.38333333417499
ITS00101,QUEUED,75.32837837836216
EDC00001,PENDINGCUS,75.1895833341625
NW000408,PENDINGREV,75.07152777764166
ITS00101,AWAITVEN,74.99166666574999
ITS00355,INPROG,74.95
DC000231,QUEUED,74.71851851894999
DC000205,QUEUED,74.68463541678437
DC000154,QUEUED,74.45833333165
SM000502,AWAITCUS,74.26609195425172
NS000108,SLAHOLD,74.23541666644375
ESI00015,QUEUED,74.1166666665
DC000119,AWAITCUS,74.03345539282535
SM000502,SLAHOLD,73.85833333289999
DC000117,INPROG,73.6981529206639
NW000503,INPROG,73.62566462150798
NW000486,QUEUED,73.58958333345939
DC000151,QUEUED,73.5694444445
EDC00053,SLAHOLD,73.34374999998124
NW000450,AWAITCUS,73.15120772926524
DC000163,AWAITCUS,72.9333333325125
DC000130,AWAITCHG,72.8594017087064
NW000428,PENDINGCUS,72.84444444444999
DC000233,AWAITVEN,72.80000000000001
NS000101,SLAHOLD,72.629166666575
NW000417,AWAITVEN,72.62369985157103
NW000464,PENDINGCUS,72.57499999835
SM000546,QUEUED,72.4888888901
SM000517,QUEUED,72.43160919560691
NW000467,SLAHOLD,72.425
NW000405,PENDINGCHG,72.3854166662
ESI00011,QUEUED,72.29816235671184
DC000108,QUEUED,72.17873723301844
NW000430,SLAHOLD,71.93229166757187
EDC00054,PENDING,71.833333333
ITS00325,INPROG,71.81050552928288
NW000459,AWAITCHG,71.62708333354375
NW000503,AWAITVEN,71.61862745087575
EDC00054,AWAITCUS,71.51805555573331
ESI00011,PENDINGCHG,71.458333335
DC000102,INPROG,71.433333333
ITS00370,INPROG,71.39635416768749
NW000453,QUEUED,71.17738261270921
DC000236,AWAITCUS,71.10163934434594
EDC00062,QUEUED,71.03941798938413
EDC00006,SLAHOLD,71.02235067475834
DC000202,AWAITCHG,70.93571428573571
DC000237,AWAITVEN,70.61249999925
ITS00363,INPROG,70.60555555533332
NW000466,QUEUED,70.475
EDC00077,QUEUED,70.38939393937272
SM000513,QUEUED,70.25166666662999
ESI00050,QUEUED,70.0
ITS00309,INPROG,69.85481927661326
COR00552,INPROG,69.56840659310545
ITS00312,QUEUED,69.52095238121908
SM000568,QUEUED,69.49102564100386
DC000141,PENDINGCUS,69.49000000057
DC000190,AWAITCUS,69.22999999940001
DC000237,QUEUED,69.00675046542561
NW000433,AWAITCUS,68.90479452067605
ITS00316,QUEUED,68.816666667
ITS00306,PENDING,68.79374999999376
DC000112,QUEUED,68.73333333333333
ESI00014,INPROG,68.65
ITS00322,INPROG,68.56459074732055
NW000437,QUEUED,68.3304717711851
NW000459,AWAITVEN,68.2141156457551
DC000228,SLAHOLD,68.0250000015
ITS00358,SLAHOLD,67.77016806724119
DC000115,QUEUED,67.76710604701904
EDC00020,QUEUED,67.741666665
DC000107,INPROG,67.73098290600872
EDC00053,AWAITVEN,67.67397660814038
ITS00306,INPROG,67.67070254126268
DC000250,AWAITVEN,67.66929824527897
DC000127,PENDINGCUS,67.55833333299445
NW000508,SLAHOLD,67.16025640976923
NW000508,AWAITVEN,67.0666666663
NS000108,AWAITCUS,66.99358974384614
NW000472,INPROG,66.88021276611063
COR00555,QUEUED,66.833333333
EDC00055,QUEUED,66.69946236516131
DC000223,QUEUED,66.38517422749145
ITS00309,PENDINGVEN,66.38333333443333
ITS00322,AWAITCUS,66.23767123278631
EDC00055,AWAITCUS,66.20833333362499
ITS00105,INPROG,66.15
DC000210,AWAITCUS,66.05573248413056
NW000459,AWAITCUS,65.95913978463226
NW000405,PENDINGVEN,65.89411764721177
SM000501,QUEUED,65.82877604129061
DC000179,QUEUED,65.77343387464335
NW000408,INPROG,65.54782913164203
EDC00025,AWAITVEN,65.43602941236034
SM000502,AWAITCHG,65.25714285712857
DC000237,SLAHOLD,65.12142857095715
NW000510,SLAHOLD,65.11000000000999
ITS00331,SLAHOLD,65.01764705915882
COR00552,AWAITCUS,64.89333333343694
SM000585,SLAHOLD,64.87222222273333
ESI00026,INPROG,64.44718137217575
EDC00004,AWAITVEN,64.2333333315
EDC00004,PENDINGCUS,64.091666665
DC000202,AWAITCUS,63.884065040544854
NW000428,PENDINGVEN,63.86666666666667
NW000452,PENDINGCUS,63.48333333333333
COR00553,PENDINGCHG,63.416666667
ENT00009,SLAHOLD,63.375
ITS00307,PENDINGCUS,63.30833333425
DC000114,AWAITCUS,62.991666666650005
NW000400,PENDINGCUS,62.983333332
NW000494,QUEUED,62.79948717941693
EDC00031,INPROG,62.64870466329532
ITS00343,AWAITCUS,62.64782964796825
TIVMON,INPROG,62.5583333345
ITS00307,QUEUED,62.52086776870292
AP000011,PENDINGREV,62.5
NW000404,QUEUED,62.481593977115445
ITS00313,SLAHOLD,62.47000000007
DC000207,SLAHOLD,62.44000000008
ITS00332,AWAITVEN,62.42611111125331
EDC00054,QUEUED,62.29803921561905
NW000431,AWAITCHG,62.134153005409836
NW000423,SLAHOLD,62.03181818179091
SM000542,AWAITCUS,62.00098039172353
NW000423,INPROG,61.877916666730016
ITS00370,AWAITCUS,61.86944444394999
SM000512,PENDINGREV,61.7722222211
NW000446,INPROG,61.509649123048106
DC000115,PENDINGCHG,60.96111111105
ITS00321,AWAITVEN,60.905555554466666
ITS00349,AWAITCUS,60.8916666665
NW000424,AWAITVEN,60.68695652159131
DC000133,SLAHOLD,60.66150234770467
EDC00003,SLAHOLD,60.66111111105
DC000115,INPROG,60.6509431305439
EU000202,QUEUED,60.55379403814876
ESI00026,AWAITCUS,60.50672514666844
EDC00010,INPROG,60.455555555606914
EDC00005,PENDINGCUS,59.9416666665
NW000452,AWAITCHG,59.794444444833324
DC000130,AWAITVEN,59.64722222242916
EDC00068,QUEUED,59.284615384284606
ENT00003,INPROG,59.268518518511115
SM000537,AWAITCHG,59.0083333335
ITS00368,QUEUED,58.93735119021695
NW000431,INPROG,58.93454106278776
ITS00313,PENDING,58.833333333
DC000109,INPROG,58.821245420770325
NW000405,INPROG,58.740809736813546
SM000559,QUEUED,58.693827160485185
