service,STATUS,TIME_IN_STATUS_BY_OWNER_HRS
Classified Infrastructure - Government of Canada Secret Infrastructure (GCSI),INPROG,0.0666666667
Middleware,RESOLVED,0.06392892076994455
Contact Centre,RESOLVED,0.06277169334456613
IBN - GC LAN,RESOLVED,0.05462495247379012
Email,RESOLVED,0.05431168520462864
HPC - Interaction & Visualization,RESOLVED,0.05036375661392857
Mobile - Voice & Data,RESOLVED,0.049173940918331105
High-performance Computing,RESOLVED,0.0477561138515567
IBN - Cabling - Install and Material,RESOLVED,0.04064367816137931
IBN - Data Centre Network,RESOLVED,0.03436519729222387
Cloud Brokering,PENDING,0.0333333333
Directory Services,RESOLVED,0.029408859509163436
Facilities - Data Centre Facilities Power & Space,RESOLVED,0.02708077080811808
Internal Credential Management (ICM),RESOLVED,0.019149543378424658
Mobile - Voice & Data,PENDING,0.0166666667
Conferencing - Videoconferencing,PENDINGCHG,0.0166666667
Midrange,RESOLVED,0.014891326900902587
High-performance Computing,HISTEDIT,0.0111111111
Fixed - VoIP,RESOLVED,0.0093253968254329
GC WAN National,HISTEDIT,0.00833333335
Midrange - Windows -X86,RESOLVED,0.0031513422383543017
Storage - File,RESOLVED,0.0018349161683784735
IBN - GC Wi-Fi,RESOLVED,0.00034368333728371654
Fixed Line,RESOLVED,0.00010648985335744419
Storage,RESOLVED,2.4260067903930127e-05
Middleware,HISTEDIT,0.0
Managed Secure File Transfer,RESOLVED,0.0
To be determined,RESOLVED,0.0
Conferencing - Videoconferencing,HISTEDIT,0.0
Cloud Brokering,RESOLVED,0.0
Managed Secure File Transfer,AWAITCUS,0.0
SIS - Advisory Services,INPROG,0.0
Mainframe - zOS & zLinux,RESOLVED,0.0
Mainframe,HISTEDIT,0.0
Classified Infrastructure - Government of Canada Secret Infrastructure (GCSI),AWAITCUS,0.0
Intra-building Network Services,RESOLVED,0.0
IBN - Cabling,RESOLVED,0.0
Classified Infrastructure - GCSI - Hosting Environment,RESOLVED,0.0
IBN - Cabling - Install and Material,HISTEDIT,0.0
IT Continuity Support Service,RESOLVED,0.0
WTD - Hardware,RESOLVED,0.0
IBN - Data Centre Network,HISTEDIT,0.0
Bulk Print,RESOLVED,0.0
IBN - GC Wi-Fi,HISTEDIT,0.0
Workplace Technology Services,RESOLVED,0.0
Government of Canada Managed Security Service,RESOLVED,0.0
Conferencing - Videoconferencing,RESOLVED,0.0
Government of Canada Managed Security Service,HISTEDIT,0.0
Midrange - Storage and Virtualization,RESOLVED,0.0
Other - Telecom & Network,AWAITVEN,0.0
Distributed Print,RESOLVED,0.0
Other - Project Management & Delivery,RESOLVED,0.0
Satellite,RESOLVED,0.0
Firewall,HISTEDIT,0.0
Firewall,RESOLVED,0.0
Fixed - Calling Card,RESOLVED,0.0
Fixed - Centrex,RESOLVED,0.0
Other - Internal Services & Strategy,HISTEDIT,0.0
Fixed - Key Systems and Interchange,RESOLVED,0.0
Fixed - PBX,HISTEDIT,0.0
Fixed - PBX,RESOLVED,0.0
Fixed - VoIP,HISTEDIT,0.0
Other - Data Centre,HISTEDIT,0.0
Other - Account & Service Delivery Management,RESOLVED,0.0
Other - Account & Service Delivery Management,AWAITCUS,0.0
IBN - GC LAN,HISTEDIT,0.0
Solutions Integration Service (SIS),RESOLVED,0.0
Mobile - Voice & Data,HISTEDIT,0.0
Data Centre Services,RESOLVED,0.0
Mobile - Mobile Device - Government Cellular Services,RESOLVED,0.0
Mobile - Enterprise Mobile Device Management (EMDM),RESOLVED,0.0
GC WAN,NEW,0.0
Mobile - Enterprise Mobile Device Management (EMDM),HISTEDIT,0.0
GC WAN International,HISTEDIT,0.0
GC WAN International,RESOLVED,0.0
Other - Telecom & Network,RESOLVED,0.0
Midrange - Windows -X86,NEW,0.0
GC WAN National,RESOLVED,0.0
Mobile Devices,RESOLVED,0.0
Bulk Print,CLOSED,
Classified Infrastructure - GCSI - Hosting Environment,CLOSED,
Cloud Brokering,CLOSED,
Conferencing - Videoconferencing,CLOSED,
Contact Centre,CLOSED,
Data Centre Facilities Management,CLOSED,
Data Centre Services,CLOSED,
Database,CLOSED,
Directory Services,CLOSED,
Distributed Print,CLOSED,
Email,CLOSED,
Facilities - Data Centre Facilities Power & Space,CLOSED,
Facilities - Data Centre Facilities Racking & Stacking,CLOSED,
Firewall,CLOSED,
Fixed - Calling Card,CLOSED,
Fixed - Centrex,CLOSED,
Fixed - Key Systems and Interchange,CLOSED,
Fixed - PBX,CLOSED,
Fixed - VoIP,CLOSED,
Fixed Line,CLOSED,
GC WAN,CLOSED,
GC WAN International,CLOSED,
GC WAN National,CLOSED,
Government of Canada Managed Security Service,CLOSED,
HPC - Interaction & Visualization,CLOSED,
HPC -Big Data Exchange,CLOSED,
High-performance Computing,CLOSED,
IBN - Cabling,CLOSED,
IBN - Cabling - Install and Material,CLOSED,
IBN - Data Centre Network,CLOSED,
IBN - GC LAN,CLOSED,
IBN - GC Wi-Fi,CLOSED,
IT Continuity Support Service,CLOSED,
Internal Credential Management (ICM),CLOSED,
Intra-building Network Services,CLOSED,
Mainframe,CLOSED,
Mainframe - zOS & zLinux,CLOSED,
Managed Secure File Transfer,CLOSED,
Middleware,CLOSED,
Midrange,CLOSED,
Midrange - Storage and Virtualization,CLOSED,
Midrange - Windows -X86,CLOSED,
Mobile - Enterprise Mobile Device Management (EMDM),CLOSED,
Mobile - Mobile Device - Government Cellular Services,CLOSED,
Mobile - Voice & Data,CLOSED,
Mobile Devices,CLOSED,
Other - Account & Service Delivery Management,CLOSED,
Other - Data Centre,CLOSED,
Other - Internal Services & Strategy,CLOSED,
Other - Project Management & Delivery,CLOSED,
Other - Security,CLOSED,
Other - Service Management,CLOSED,
Other - Telecom & Network,CLOSED,
Satellite,CLOSED,
Secure Remote Access,CLOSED,
Solutions Integration Service (SIS),CLOSED,
Storage,CLOSED,
Storage - File,CLOSED,
To be determined,CLOSED,
Toll-free Voice,CLOSED,
WTD - Hardware,CLOSED,
Workplace Technology Services,CLOSED,
